 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median,Skew,%Area
229,4,255,0,255,255,255,543.000,251.500,543.000,251.500,255,NaN,100
230,19,255,0,255,255,255,498.447,253.395,498.447,253.395,255,NaN,100
231,3,255,0,255,255,255,335.500,254.500,335.500,254.500,255,NaN,100
232,3,255,0,255,255,255,565.167,254.833,565.167,254.833,255,NaN,100
233,2,255,0,255,255,255,511.000,260.500,511.000,260.500,255,NaN,100
234,6,255,0,255,255,255,441.667,262.167,441.667,262.167,255,NaN,100
235,5,255,0,255,255,255,424.300,263.900,424.300,263.900,255,NaN,100
236,11,255,0,255,255,255,514.591,266.227,514.591,266.227,255,NaN,100
237,1,255,0,255,255,255,529.500,263.500,529.500,263.500,255,NaN,100
238,2,255,0,255,255,255,442.500,266.000,442.500,266.000,255,NaN,100
239,3,255,0,255,255,255,446.500,268.167,446.500,268.167,255,NaN,100
240,1,255,0,255,255,255,561.500,267.500,561.500,267.500,255,NaN,100
241,67,255,0,255,255,255,561.649,272.679,561.649,272.679,255,NaN,100
242,1,255,0,255,255,255,180.500,270.500,180.500,270.500,255,NaN,100
243,1,255,0,255,255,255,503.500,270.500,503.500,270.500,255,NaN,100
244,2,255,0,255,255,255,521.500,271.000,521.500,271.000,255,NaN,100
245,5,255,0,255,255,255,442.100,273.300,442.100,273.300,255,NaN,100
246,2,255,0,255,255,255,446.000,274.500,446.000,274.500,255,NaN,100
247,1,255,0,255,255,255,463.500,274.500,463.500,274.500,255,NaN,100
248,4,255,0,255,255,255,520.000,275.000,520.000,275.000,255,NaN,100
249,1,255,0,255,255,255,550.500,274.500,550.500,274.500,255,NaN,100
250,4,255,0,255,255,255,431.000,275.500,431.000,275.500,255,NaN,100
251,1,255,0,255,255,255,434.500,276.500,434.500,276.500,255,NaN,100
252,31,255,0,255,255,255,441.984,279.339,441.984,279.339,255,NaN,100
253,1,255,0,255,255,255,446.500,276.500,446.500,276.500,255,NaN,100
254,1,255,0,255,255,255,519.500,277.500,519.500,277.500,255,NaN,100
255,303,255,0,255,255,255,562.361,288.012,562.361,288.012,255,NaN,100
256,2,255,0,255,255,255,315.000,278.500,315.000,278.500,255,NaN,100
257,3,255,0,255,255,255,580.167,279.500,580.167,279.500,255,NaN,100
258,4,255,0,255,255,255,449.500,283.250,449.500,283.250,255,NaN,100
259,4,255,0,255,255,255,387.000,285.000,387.000,285.000,255,NaN,100
260,6,255,0,255,255,255,464.000,285.333,464.000,285.333,255,NaN,100
261,4,255,0,255,255,255,457.250,287.500,457.250,287.500,255,NaN,100
262,5,255,0,255,255,255,579.500,288.900,579.500,288.900,255,NaN,100
263,1,255,0,255,255,255,480.500,288.500,480.500,288.500,255,NaN,100
264,4,255,0,255,255,255,505.250,290.750,505.250,290.750,255,NaN,100
265,2,255,0,255,255,255,376.000,292.000,376.000,292.000,255,NaN,100
266,7,255,0,255,255,255,466.929,292.643,466.929,292.643,255,NaN,100
267,4,255,0,255,255,255,475.750,291.750,475.750,291.750,255,NaN,100
268,2,255,0,255,255,255,64.000,295.000,64.000,295.000,255,NaN,100
269,51,255,0,255,255,255,374.833,298.892,374.833,298.892,255,NaN,100
270,1,255,0,255,255,255,379.500,294.500,379.500,294.500,255,NaN,100
271,1,255,0,255,255,255,470.500,294.500,470.500,294.500,255,NaN,100
272,1,255,0,255,255,255,482.500,295.500,482.500,295.500,255,NaN,100
273,1,255,0,255,255,255,332.500,297.500,332.500,297.500,255,NaN,100
274,4,255,0,255,255,255,520.500,297.750,520.500,297.750,255,NaN,100
275,4,255,0,255,255,255,576.500,300.000,576.500,300.000,255,NaN,100
276,1,255,0,255,255,255,382.500,300.500,382.500,300.500,255,NaN,100
277,4,255,0,255,255,255,467.000,301.500,467.000,301.500,255,NaN,100
278,2,255,0,255,255,255,486.000,300.500,486.000,300.500,255,NaN,100
279,1,255,0,255,255,255,330.500,301.500,330.500,301.500,255,NaN,100
280,14,255,0,255,255,255,517.643,304.500,517.643,304.500,255,NaN,100
281,3,255,0,255,255,255,39.833,304.833,39.833,304.833,255,NaN,100
282,1,255,0,255,255,255,332.500,304.500,332.500,304.500,255,NaN,100
283,4,255,0,255,255,255,396.000,305.000,396.000,305.000,255,NaN,100
284,16,255,0,255,255,255,524.750,306.875,524.750,306.875,255,NaN,100
285,1,255,0,255,255,255,523.500,310.500,523.500,310.500,255,NaN,100
286,2,255,0,255,255,255,520.500,312.000,520.500,312.000,255,NaN,100
287,1,255,0,255,255,255,222.500,313.500,222.500,313.500,255,NaN,100
288,3,255,0,255,255,255,203.167,319.833,203.167,319.833,255,NaN,100
289,2,255,0,255,255,255,536.000,325.500,536.000,325.500,255,NaN,100
290,7,255,0,255,255,255,547.643,327.071,547.643,327.071,255,NaN,100
291,20,255,0,255,255,255,582.300,328.600,582.300,328.600,255,NaN,100
292,2,255,0,255,255,255,211.500,336.000,211.500,336.000,255,NaN,100
293,1,255,0,255,255,255,212.500,339.500,212.500,339.500,255,NaN,100
294,2,255,0,255,255,255,371.500,351.000,371.500,351.000,255,NaN,100
295,1,255,0,255,255,255,140.500,360.500,140.500,360.500,255,NaN,100
296,2,255,0,255,255,255,76.000,366.500,76.000,366.500,255,NaN,100
297,1,255,0,255,255,255,72.500,370.500,72.500,370.500,255,NaN,100
298,1,255,0,255,255,255,378.500,378.500,378.500,378.500,255,NaN,100
299,2,255,0,255,255,255,78.000,385.500,78.000,385.500,255,NaN,100
300,1,255,0,255,255,255,311.500,391.500,311.500,391.500,255,NaN,100
301,1,255,0,255,255,255,73.500,393.500,73.500,393.500,255,NaN,100
302,4,255,0,255,255,255,180.750,394.250,180.750,394.250,255,NaN,100
303,3,255,0,255,255,255,366.833,395.833,366.833,395.833,255,NaN,100
304,1,255,0,255,255,255,469.500,396.500,469.500,396.500,255,NaN,100
305,2,255,0,255,255,255,446.500,399.000,446.500,399.000,255,NaN,100
306,2,255,0,255,255,255,591.000,405.500,591.000,405.500,255,NaN,100
307,2,255,0,255,255,255,180.500,410.000,180.500,410.000,255,NaN,100
308,1,255,0,255,255,255,573.500,410.500,573.500,410.500,255,NaN,100
309,1,255,0,255,255,255,580.500,410.500,580.500,410.500,255,NaN,100
310,2,255,0,255,255,255,143.000,411.500,143.000,411.500,255,NaN,100
311,1,255,0,255,255,255,182.500,413.500,182.500,413.500,255,NaN,100
312,2,255,0,255,255,255,563.000,413.500,563.000,413.500,255,NaN,100
313,1,255,0,255,255,255,568.500,413.500,568.500,413.500,255,NaN,100
314,1,255,0,255,255,255,40.500,414.500,40.500,414.500,255,NaN,100
315,2,255,0,255,255,255,100.000,414.500,100.000,414.500,255,NaN,100
316,1,255,0,255,255,255,345.500,414.500,345.500,414.500,255,NaN,100
317,2,255,0,255,255,255,176.000,415.500,176.000,415.500,255,NaN,100
318,5,255,0,255,255,255,187.300,416.300,187.300,416.300,255,NaN,100
319,2,255,0,255,255,255,192.500,416.000,192.500,416.000,255,NaN,100
320,2,255,0,255,255,255,169.000,416.500,169.000,416.500,255,NaN,100
321,2,255,0,255,255,255,173.000,416.500,173.000,416.500,255,NaN,100
322,1,255,0,255,255,255,177.500,417.500,177.500,417.500,255,NaN,100
323,4,255,0,255,255,255,250.000,419.500,250.000,419.500,255,NaN,100
324,1,255,0,255,255,255,254.500,419.500,254.500,419.500,255,NaN,100
325,3,255,0,255,255,255,257.500,420.500,257.500,420.500,255,NaN,100
326,1,255,0,255,255,255,390.500,423.500,390.500,423.500,255,NaN,100
327,1,255,0,255,255,255,398.500,423.500,398.500,423.500,255,NaN,100
328,2,255,0,255,255,255,410.000,425.500,410.000,425.500,255,NaN,100
